DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000E09W;DEBKGGND00001GXG;Ahrweiler;07131;AX_KreisRegion (Landkreis);AW;070241;502803;3361262.387718042;5594242.904947102;361242.67351459956;5592445.943886978
DEBKGDL20000DXC9;DEBKGGND00001I1R;Aichach-Friedberg;09771;AX_KreisRegion (Landkreis);AIC  FDB;110310;482539;3651986.0465467926;5367546.0959312;651849.6935602885;5365838.105469814
DEBKGDL20000E15K;DEBKGGND00001EL9;Alb-Donau-Kreis;08425;AX_KreisRegion (Landkreis);UL;094033;482052;3550163.619539565;5356890.314130571;550068.1785403717;5355186.990382587
DEBKGDL20000E3TM;DEBKGGND00001BZF;Altenburger Land;16077;AX_KreisRegion (Landkreis);ABG  SLN;122357;505723;3738878.2448340463;5652298.8263979005;738708.602247474;5650475.716781135
DEBKGDL20000E5OP;DEBKGGND00003ETK;Altenkirchen (Westerwald);07132;AX_KreisRegion (Landkreis);AK;075316;504743;3421659.620679839;5629463.745006214;421616.25201288454;5627652.534789168
DEBKGDL20000E3D8;DEBKGGND00001GQO;Altmarkkreis Salzwedel;15081;AX_KreisRegion (Landkreis);SAW  GA  KLZ;111338;524047;3650699.2121769874;5840880.281393231;650567.2370498853;5838982.084604218
DEBKGDL20000E5SN;DEBKGGND00001JV6;Altötting;09171;AX_KreisRegion (Landkreis);AÖ  LF;124219;481235;3775436.8732270086;5347951.08516202;775250.4495221707;5346250.755055457
DEBKGDL20000DZXV;DEBKGGND00001H40;Alzey-Worms;07331;AX_KreisRegion (Landkreis);AZ;080926;494534;3439354.580223941;5513989.598350712;439303.6681415129;5512223.887801566
DEBKGDL20000E0H3;DEBKGGND00001HFW;Amberg;09361;AX_KreisRegion (Kreisfreie Stadt);AM;115121;492633;3707174.6628169357;5482318.067997169;707016.5243888836;5480563.832417918
DEBKGDL20000E1GZ;DEBKGGND0000194R;Amberg-Sulzbach;09371;AX_KreisRegion (Landkreis);AS  BUL  ESB  NAB  SUL;114835;492130;3704185.956805759;5472826.968655532;704028.9813070623;5471076.569997665
DEBKGDL20000E1YA;DEBKGGND00001E2X;Ammerland;03451;AX_KreisRegion (Landkreis);WST;080048;531307;3434159.3398595704;5898948.82116666;434114.4756466771;5897030.605117538
DEBKGDL20000E6XU;DEBKGGND00001C7V;Anhalt-Bitterfeld;15082;AX_KreisRegion (Landkreis);ABI  AZE  BTF  KÖT  ZE;121233;513853;3722173.4829137693;5728616.032350978;722011.2322725165;5726762.437706543
DEBKGDL20000E6ZL;DEBKGGND00001CIS;Ansbach;09571;AX_KreisRegion (Landkreis);AN  DKB  FEU  ROT;101803;491337;3594819.570546988;5455253.081778281;594706.4051854769;5453510.212118386
DEBKGDL20000E692;DEBKGGND00001A80;Ansbach;09561;AX_KreisRegion (Kreisfreie Stadt);AN;103419;491809;3614395.65546252;5464029.479987939;614274.692244733;5462283.00743894
DEBKGDL20000E2X8;DEBKGGND00001C40;Aschaffenburg;09671;AX_KreisRegion (Landkreis);AB  ALZ;091349;500240;3516573.173026126;5545385.573732792;516491.7469696751;5543606.958247255
DEBKGDL20000E2XA;DEBKGGND00001GEL;Aschaffenburg;09661;AX_KreisRegion (Kreisfreie Stadt);AB;090852;495825;3510679.6225533043;5537470.880765599;510600.5061801704;5535695.457412752
DEBKGDL20000E0BJ;DEBKGGND00001ID9;Augsburg;09772;AX_KreisRegion (Landkreis);A  SMÜ  WER;104355;482114;3628435.0424126224;5358798.095058319;628308.1096192033;5357093.655574206
DEBKGDL20000DXCC;DEBKGGND00001977;Augsburg;09761;AX_KreisRegion (Kreisfreie Stadt);A;105333;482211;3640294.8877866;5360827.557674348;640163.2358144778;5359122.30186309
DEBKGDL20000E5TF;DEBKGGND00001IW8;Aurich;03452;AX_KreisRegion (Landkreis);AUR  NOR;072241;532920;3392412.6598132807;5929821.999351724;392384.8231791164;5927892.100107933
DEBKGDL20000E0N3;DEBKGGND00001A9O;Bad Dürkheim;07332;AX_KreisRegion (Landkreis);DÜW;080637;492711;3435556.6863774606;5479942.7158409115;435507.12109741766;5478190.523329165
DEBKGDL20000E33L;DEBKGGND00001JDF;Bad Kissingen;09672;AX_KreisRegion (Landkreis);KG  BRK  HAB;095753;501321;3568926.7992371623;5565603.042949251;568824.5159843552;5563815.997541244
DEBKGDL20000E1NB;DEBKGGND00001ER9;Bad Kreuznach;07133;AX_KreisRegion (Landkreis);KH;074112;494929;3405566.3030646383;5521745.870696742;405528.8123532324;5519977.222071251
DEBKGDL20000E1TW;DEBKGGND00001F3F;Bad Tölz-Wolfratshausen;09173;AX_KreisRegion (Landkreis);TÖL  WOR;112859;474338;3686343.5526713287;5290640.508919723;686192.692767266;5288963.612960136
DEBKGDL20000DX2G;DEBKGGND00001BOI;Baden-Baden;08211;AX_KreisRegion (Stadtkreis);BAD;081424;484542;3444196.81769222;5402976.4308404;444143.688427288;5401254.697498057
DEBKGDL20000E5AI;DEBKGGND00001983;Bamberg;09461;AX_KreisRegion (Kreisfreie Stadt);BA;105312;495336;3635644.1042776858;5530257.115898094;635515.084537774;5528483.976991234
DEBKGDL20000E64V;DEBKGGND00001IZX;Bamberg;09471;AX_KreisRegion (Landkreis);BA;110256;495439;3647234.6146778516;5532511.669537698;647100.9397795578;5530737.551760924
DEBKGDL20000E0B1;DEBKGGND00001B0T;Barnim;12060;AX_KreisRegion (Landkreis);BAR  BER  EW;134212;524923;3817039.3066719873;5864867.954726414;816840.7278069792;5862958.307224348
DEBKGDL20000HFQL;DEBKGGND00001DP8;Bautzen;14625;AX_KreisRegion (Landkreis);BZ  BIW  HY  KM;141352;511608;3865043.5479822992;5694563.509476819;864823.560283985;5692721.987105311
DEBKGDL20000E19E;DEBKGGND00001AOU;Bayreuth;09472;AX_KreisRegion (Landkreis);BT  EBS  ESB  KEM  MÜB  PEG;114327;495815;3695488.8506007423;5540728.15505659;695335.8053883993;5538950.398489333
DEBKGDL20000E338;DEBKGGND00001AI5;Bayreuth;09462;AX_KreisRegion (Kreisfreie Stadt);BT;113417;495644;3684627.1358206817;5537525.317440014;684478.4304249119;5535748.933144989
DEBKGDL20000E5ZA;DEBKGGND00001IWX;Berchtesgadener Land;09172;AX_KreisRegion (Landkreis);BGL  BGD  LF  REI;125944;473544;3800539.520752481;5280747.057933822;800342.7483815846;5279073.6469339365
DEBKGDL20000E6ZT;DEBKGGND00001A97;Bergstraße;06431;AX_KreisRegion (Landkreis);HP;083752;494022;3473452.344476269;5504064.453122722;473387.73929771176;5502302.546162257
DEBKGDL20000E0P4;DEBKGGND00001JUP;Berlin;11000;AX_KreisRegion (Kreisfreie Stadt);B;132420;523104;3799056.8998373123;5829638.3444120595;798865.1121411794;5827743.15711537
DEBKGDL20000E6GQ;DEBKGGND00001CQ4;Bernkastel-Wittlich;07231;AX_KreisRegion (Landkreis);WIL  BKS;065803;495528;3354127.26454493;5533990.431160261;354110.0921067381;5532217.139914079
DEBKGDL20000E1E7;DEBKGGND00001G3B;Biberach;08426;AX_KreisRegion (Landkreis);BC;094211;480437;3552464.3940124223;5326772.9202596415;552368.073882668;5325081.686749508
DEBKGDL20000E4DX;DEBKGGND0000191E;Bielefeld;05711;AX_KreisRegion (Kreisfreie Stadt);BI;083156;520114;3467954.878790505;5765295.850062956;467894.5992984329;5763430.2882543085
DEBKGDL20000E0FC;DEBKGGND00001JXP;Birkenfeld;07134;AX_KreisRegion (Landkreis);BIR;071639;494245;3375854.4450387238;5509847.769517335;375828.62980083574;5508083.94455253
DEBKGDL20000E45Q;DEBKGGND00001DGY;Bochum;05911;AX_KreisRegion (Kreisfreie Stadt);BO  WAT;071302;512858;3376231.832808921;5706853.564872236;376206.98526457435;5705012.20989216
DEBKGDL20000E738;DEBKGGND00001GK7;Bodenseekreis;08435;AX_KreisRegion (Landkreis);FN;092404;474401;3530163.5447319513;5288431.677797159;530076.2666291274;5286755.791816836
DEBKGDL20000E68K;DEBKGGND00001FSL;Bonn;05314;AX_KreisRegion (Kreisfreie Stadt);BN;070557;504403;3365886.434176851;5623804.1474059345;365865.09667554556;5621995.521087648
DEBKGDL20000E5UN;DEBKGGND00001BEU;Borken;05554;AX_KreisRegion (Kreis);BOR  AH  BOH;065021;515105;3351182.3460339573;5748573.927759065;351167.795707586;5746716.455226758
DEBKGDL20000E3DX;DEBKGGND00001GRJ;Bottrop;05512;AX_KreisRegion (Kreisfreie Stadt);BOT;065548;513125;3356409.9273646497;5711938.761939995;356392.94152057427;5710095.577303465
DEBKGDL20000E2GG;DEBKGGND00001FN4;Brandenburg an der Havel;12051;AX_KreisRegion (Kreisfreie Stadt);BRB;123348;522431;3742522.525509651;5814354.546962512;742353.2117961519;5812466.096870937
